Majors,Terms in Attendance
"Business Administration BS, Electrical Eng & Comp Sci BS",2
Letters & Sci Undeclared UG,2
Electrical Eng & Comp Sci BS,2
Electrical Eng & Comp Sci BS,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Electrical Eng & Comp Sci BS,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Bioengineering BS,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Engineering Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Letters & Sci Undeclared UG,2
Data Science BA,3
Letters & Sci Undeclared UG,3
Electrical Eng & Comp Sci BS,4
"CNR Undeclared UG, Cognitive Science BA",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Economics BA, Mathematics BA",4
Data Science BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Computer Science BA,4
Electrical Eng & Comp Sci BS,4
Civil Engineering BS,4
Statistics BA,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
"Business Administration BS, Electrical Eng & Comp Sci BS",4
Applied Mathematics BA,4
Electrical Eng & Comp Sci BS,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
"Business Administration BS, Electrical Eng & Comp Sci BS",4
Data Science BA,4
"Business Administration BS, Electrical Eng & Comp Sci BS",4
Mechanical Engineering BS,4
"Business Administration BS, Industrial Eng & Ops Rsch BS",4
Letters & Sci Undeclared UG,4
"Chemistry BS, Computer Science BA",4
Letters & Sci Undeclared UG,4
Economics BA,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Business Administration BS,4
Computer Science BA,4
Computer Science BA,4
"Cognitive Science BA, Electrical Eng & Comp Sci BS",4
Data Science BA,4
"Bioengineering BS, Electrical Eng & Comp Sci BS",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Applied Mathematics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Electrical Eng & Comp Sci BS,4
"Bioengineering BS, Electrical Eng & Comp Sci BS",4
Electrical Eng & Comp Sci BS,4
Economics BA,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Electrical Eng & Comp Sci BS,4
Data Science BA,4
Economics BA,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Industrial Eng & Ops Rsch BS,4
Materials Science & Eng BS,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Applied Mathematics BA,4
Industrial Eng & Ops Rsch BS,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Urban Studies BA",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Computer Science BA, Data Science BA",4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Data Science BA,4
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",4
Economics BA,4
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Economics BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Civil Engineering BS,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Industrial Eng & Ops Rsch BS,4
"Bioengineering BS, Letters & Sci Undeclared UG",4
Letters & Sci Undeclared UG,4
Data Science BA,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Computer Science BA,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Computer Science BA, Data Science BA, Mathematics BA",4
Data Science BA,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Applied Mathematics BA,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Environmental Sciences BS,4
Letters & Sci Undeclared UG,4
Economics BA,4
Letters & Sci Undeclared UG,4
"Computer Science BA, Mathematics BA",4
Letters & Sci Undeclared UG,4
Urban Studies BA,4
Society and Environment BS,4
"Chemical Biology BS, Letters & Sci Undeclared UG",4
Letters & Sci Undeclared UG,4
Chemical Biology BS,4
Economics BA,4
Electrical Eng & Comp Sci BS,4
Economics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Economics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Letters & Sci Undeclared UG, Nutritional Science BS",4
Computer Science BA,4
Industrial Eng & Ops Rsch BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Industrial Eng & Ops Rsch BS,4
Industrial Eng & Ops Rsch BS,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Materials Science & Eng BS,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Environmental Sciences BS,4
"Chemical Engineering BS, Computer Science BA",4
Applied Mathematics BA,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Computer Science BA,4
Mechanical Engineering BS,4
Electrical Eng & Comp Sci BS,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Chemical Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Industrial Eng & Ops Rsch BS,4
Economics BA,4
Data Science BA,4
Electrical Eng & Comp Sci BS,4
Applied Mathematics BA,4
Letters & Sci Undeclared UG,4
Molecular & Cell Biology BA,4
"CNR Undeclared UG, Computer Science BA",4
Computer Science BA,4
Environmental Sciences BS,4
Electrical Eng & Comp Sci BS,4
Economics BA,4
Letters & Sci Undeclared UG,4
"Chemical Engineering BS, Computer Science BA",4
Economics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Applied Mathematics BA,4
Data Science BA,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Civil Engineering BS,4
Letters & Sci Undeclared UG,4
"Chemical Engineering BS, Letters & Sci Undeclared UG",4
Economics BA,4
Computer Science BA,4
Applied Mathematics BA,4
Letters & Sci Undeclared UG,4
Cognitive Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Materials Science & Eng BS,4
Letters & Sci Undeclared UG,4
Economics BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Nuclear Engineering BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Data Science BA,4
Computer Science BA,4
"CNR Undeclared UG, Statistics BA",4
Letters & Sci Undeclared UG,4
History BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
"Applied Mathematics BA, Computer Science BA",4
Letters & Sci Undeclared UG,4
Economics BA,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Economics BA,4
Economics BA,4
Letters & Sci Undeclared UG,4
Materials Science & Eng BS,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Computer Science BA,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,4
Electrical Eng & Comp Sci BS,4
Data Science BA,4
Letters & Sci Undeclared UG,4
